city,area_sqft,bedrooms,bathrooms,price
Indore,2571,1,1,26472242
Mumbai,3355,1,5,21103055
Kolkata,2312,6,3,17406072
Mumbai,1433,2,5,13798123
Surat,2475,2,4,18003250
Noida,1932,6,4,24365988
Jaipur,3640,1,2,25022680
Mumbai,1454,3,5,14430422
Patna,1092,2,2,7890520
Bhopal,4697,5,3,53514117
Coimbatore,3302,5,1,36543620
Chennai,1099,6,1,11923880
Chennai,804,2,4,8621116
Surat,1077,5,5,14867191
Gurgaon,2015,4,5,22430085
Nagpur,3013,3,3,36715944
Patna,2662,4,1,24608366
Kolkata,2837,6,4,32640976
Bangalore,1683,4,3,16409846
Bangalore,1965,1,1,12932555
Bhopal,515,2,5,6901385
Chandigarh,4406,5,1,52939888
Gurgaon,4590,4,1,38830160
Indore,4944,1,2,45782096
Bhopal,780,5,4,8908480
Hyderabad,4459,6,2,38729967
Surat,2931,6,4,24428541
Kolkata,799,6,4,8812725
Bangalore,1620,1,2,13740260
Bhopal,2812,5,5,34399328
Jaipur,2467,6,2,30729080
Jaipur,1060,3,4,13502380
Delhi,4667,3,3,55604531
Mumbai,3403,6,2,25449591
Bangalore,4514,4,3,45248634
Ahmedabad,3070,5,4,29918170
Coimbatore,2332,6,2,30146812
Visakhapatnam,571,5,4,8034703
Nagpur,3858,4,3,44295254
Chennai,1223,4,1,9995974
Noida,2827,3,1,23810684
Jaipur,1148,6,4,13902556
Chennai,1587,4,5,14140550
Chennai,3532,6,2,27932388
Kolkata,3063,5,1,37075144
Bhopal,2036,5,1,22752092
Bangalore,2014,4,4,15908684
Gurgaon,2558,2,4,30460486
Jaipur,4659,6,1,54262977
Hyderabad,1205,2,1,13794690
Chandigarh,2677,4,1,20377605
Nagpur,869,3,3,9335773
Bhopal,3772,3,1,43176828
Hyderabad,3042,1,2,34631240
Gurgaon,885,3,1,9903960
Coimbatore,2607,6,2,24716310
Lucknow,3629,6,5,35711806
Coimbatore,2058,1,2,15480182
Coimbatore,3577,2,3,35135311
Lucknow,3835,1,3,23966365
Mumbai,2806,4,4,31524732
Bangalore,1530,3,2,16067130
Gurgaon,4796,5,2,38268568
Hyderabad,2574,4,1,28491608
Surat,4292,4,3,38507752
Ahmedabad,1443,1,2,9758288
Gurgaon,3703,1,5,42118017
Mumbai,1469,5,4,15797388
Pune,4375,5,1,48490000
Bhopal,4884,5,1,56326564
Lucknow,3583,6,5,36680200
Nagpur,1919,5,1,23240552
Mumbai,3813,3,4,36392763
Nagpur,4467,3,3,47720049
Lucknow,1526,1,5,14145492
Coimbatore,2237,5,5,21416072
Visakhapatnam,2787,6,1,31736757
Lucknow,2044,6,5,18708140
Patna,1328,2,5,10192416
Jaipur,4842,5,5,47404708
Chandigarh,4887,5,1,47377321
Delhi,751,3,5,9721197
Indore,1952,2,5,19713824
Chandigarh,3342,6,1,24900126
Ahmedabad,3527,6,2,33353362
Hyderabad,3335,6,3,31114050
Noida,4538,1,3,39681092
Pune,1471,2,5,13669723
Coimbatore,855,1,5,5684720
Coimbatore,4402,2,2,27434010
Mumbai,2670,3,1,22256580
Delhi,4239,4,3,40117088
Nagpur,1486,4,5,12645704
Surat,4895,5,5,52854865
Mumbai,4590,1,2,43875500
Patna,3185,3,5,35585870
Chennai,4004,3,5,45091548
Ahmedabad,4746,3,1,47944356
Lucknow,4176,6,3,34027680
Mumbai,3780,1,4,30025580
Lucknow,3329,6,1,32464979
Bangalore,931,1,1,10448666
Hyderabad,614,6,5,8448636
Pune,2925,6,2,36172425
Bangalore,4629,5,5,40740169
Gurgaon,4928,2,4,45706816
Kolkata,1659,5,3,16075597
Chennai,3938,5,4,27608688
Patna,4036,5,4,31385652
Bangalore,4255,4,1,51128230
Ahmedabad,905,6,1,13249125
Chandigarh,743,2,1,6044970
Pune,3849,4,2,46829303
Bangalore,3734,3,3,27932986
Visakhapatnam,2401,2,2,16359197
Kolkata,625,4,5,9102500
Jaipur,1486,3,2,18770292
Noida,1052,5,3,12768572
Patna,1425,6,1,17941125
Chandigarh,3217,3,5,22963824
Chennai,1636,5,1,19233008
Noida,1059,3,2,9408612
Jaipur,3354,4,5,27725180
Jaipur,4260,1,1,40837940
Ahmedabad,1542,4,1,15019106
Lucknow,635,6,3,7771390
Delhi,4583,1,3,52521633
Pune,2197,5,2,26295707
Ahmedabad,3968,4,3,39025408
Pune,710,3,1,6314510
Noida,2188,5,5,20769800
Chennai,2770,6,2,22420470
Chennai,3771,5,2,35417059
Bangalore,3326,2,4,39538362
Pune,3636,6,2,42686940
Coimbatore,4677,3,3,54602658
Surat,3309,6,3,29342949
Bangalore,3528,5,1,43079056
Visakhapatnam,1197,1,2,13307900
Hyderabad,2646,1,2,26803886
Hyderabad,3164,1,1,35655204
Patna,1787,3,3,15642318
Noida,3516,6,4,38810460
Nagpur,4796,3,2,58999244
Visakhapatnam,1217,2,4,8508890
Bangalore,3985,6,4,30771465
Ahmedabad,4608,1,5,47897888
Jaipur,777,1,1,8743193
Bhopal,3445,4,5,35671430
Patna,845,4,5,10323250
Pune,3983,6,2,34397989
Visakhapatnam,2476,2,5,16623560
Chennai,4060,2,3,36001260
Noida,1504,4,2,18062720
Indore,3504,4,4,39412208
Mumbai,1709,3,5,19441082
Indore,4205,5,5,27751025
Delhi,2692,3,5,18230780
Patna,4396,1,3,35039372
Chennai,1142,4,3,13796860
Bhopal,1092,3,1,9609192
Gurgaon,1142,5,1,9861332
Bangalore,2872,2,1,35225624
Gurgaon,3240,4,4,28399520
Indore,2872,3,4,32419952
Visakhapatnam,4937,2,2,52739760
Indore,2240,3,2,16192160
Kolkata,3236,5,3,25825088
Gurgaon,1748,5,4,14292008
Ahmedabad,2371,6,3,19682356
Visakhapatnam,1882,4,2,23780386
Hyderabad,2255,3,4,24442370
Bangalore,3087,5,1,35151199
Noida,1647,1,3,12463808
Noida,1033,2,2,11091377
Mumbai,1020,1,3,10367480
Jaipur,2997,3,4,28407066
Chandigarh,3611,5,3,45673116
Lucknow,629,3,4,5589758
Hyderabad,3772,6,2,45310524
Lucknow,3745,3,4,44885825
Nagpur,4449,1,4,53638856
Nagpur,1229,3,5,9443027
Pune,1007,1,1,9186382
Indore,1747,3,3,20926640
Ahmedabad,1537,4,3,13255451
Indore,2514,1,4,25363460
Bangalore,4176,1,3,42460448
Pune,4846,3,5,59443622
Mumbai,4384,5,5,50785376
Noida,3650,2,2,24860050
Jaipur,2920,4,2,20177000
Pune,4287,1,2,33805703
Patna,3231,1,2,39272000
Kolkata,4475,4,4,55333050
Bhopal,3572,2,5,35423364
Indore,4397,3,3,34358781
Chandigarh,1018,2,1,12004580
Hyderabad,1814,1,2,12434306
Chennai,2023,1,5,13056761
Bhopal,2681,6,4,33000390
Patna,671,6,1,8128453
Kolkata,4629,1,1,51085712
Indore,1330,1,4,13769410
Bhopal,2685,5,3,30268270
Surat,887,5,1,8951151
Chandigarh,3182,3,1,25928214
Kolkata,1764,3,3,19767984
Noida,4507,2,4,42518484
Ahmedabad,2883,1,5,31561442
Nagpur,3692,6,1,32218488
Bangalore,1700,3,5,13434000
Pune,2909,3,2,25999598
Indore,880,5,3,9038400
Pune,4696,2,4,48518824
Visakhapatnam,2179,6,2,18353234
Noida,4438,3,4,45125540
Visakhapatnam,1591,2,3,17859827
Chennai,4572,1,3,54554756
Kolkata,512,5,5,8161696
Lucknow,3907,3,5,31224456
Bhopal,1419,3,1,14957796
Bhopal,645,4,5,5875805
Bhopal,3584,5,4,28053920
Chandigarh,3982,2,5,48696396
Jaipur,2552,4,5,20540280
Surat,1129,2,5,12310322
Mumbai,1275,3,4,16567950
Chennai,2447,2,2,27821567
Pune,1841,3,1,17776281
Mumbai,1318,3,2,17192108
Surat,1522,5,1,13848032
Indore,4782,1,3,30105362
Jaipur,2225,4,5,18064500
Indore,3166,5,4,35777826
Coimbatore,2669,3,4,33314480
Hyderabad,2769,2,1,19687981
Chennai,2717,3,1,23111018
Gurgaon,3273,2,2,33739819
Pune,1320,2,1,9825520
Nagpur,2726,4,2,21728062
Ahmedabad,2911,2,5,29399716
Visakhapatnam,4382,5,5,47722240
Jaipur,2095,2,5,13578380
Lucknow,3497,1,5,26860386
Indore,4284,5,3,42238384
Bangalore,2493,2,4,16282090
Lucknow,2124,1,3,14057492
Gurgaon,1202,3,2,14786908
Kolkata,510,5,4,6967090
Ahmedabad,1525,5,5,15337450
Mumbai,2271,3,2,25293267
Gurgaon,4689,4,2,55004456
Patna,4415,4,4,41156635
Noida,3650,5,4,26184850
Chennai,4197,5,1,52284814
Gurgaon,1503,1,3,17820572
Delhi,3887,5,4,36410188
Surat,3066,5,1,27156772
Surat,1678,4,3,15279692
Coimbatore,4502,2,2,48185462
Surat,4275,5,1,53287000
Patna,2333,6,3,20072894
Kolkata,4638,3,5,36447330
Patna,956,2,1,9693864
Noida,4542,5,5,32259184
Surat,3601,5,5,26363827
Delhi,4205,5,2,30766010
Patna,2183,4,2,27615322
Visakhapatnam,3855,3,2,42648270
Visakhapatnam,1047,4,4,11816672
Ahmedabad,4191,2,5,43459021
Patna,1986,1,1,18415706
Jaipur,4324,4,3,53758280
Noida,4588,5,4,47742268
Pune,3698,4,5,29683228
Kolkata,3988,3,5,31593448
Ahmedabad,1213,4,2,14459936
Pune,1279,6,4,13916265
Pune,1873,3,3,16946631
Lucknow,1974,4,3,15437018
Chandigarh,3847,3,5,42147402
Kolkata,2464,6,1,19957248
Lucknow,1750,4,3,22006000
Coimbatore,924,4,2,8904128
Nagpur,2457,5,1,20949613
Lucknow,2408,6,5,21849824
Kolkata,4190,6,5,29221020
Delhi,2566,5,1,30515588
Delhi,2699,5,1,31141788
Coimbatore,1865,2,3,15602950
Surat,2312,1,3,16517536
Noida,699,6,2,9022584
Mumbai,2341,5,4,21307594
Visakhapatnam,3556,2,5,37712144
Noida,3781,3,1,42312114
Delhi,1469,3,5,18538931
Lucknow,2949,5,1,22435240
Delhi,593,1,4,4989603
Hyderabad,764,1,2,8059780
Patna,3422,2,2,37215026
Coimbatore,4328,2,3,35057032
Bangalore,2788,2,1,20357084
Kolkata,4948,6,1,52712556
Patna,3016,5,2,35241696
Surat,648,5,3,7509688
Ahmedabad,1989,2,1,23412052
Mumbai,1823,1,1,13682113
Patna,1293,6,3,18349203
Kolkata,1487,3,3,17357368
Surat,4678,6,3,33505238
Coimbatore,1301,2,2,13869492
Indore,2847,2,4,24402340
Surat,3351,3,3,32211915
Coimbatore,3246,3,2,25419774
Nagpur,1591,2,2,13817096
